Text,Cost
	[Passive] | Stun Powder | Whenever you Attack and deal 3 or less damage: You may spend {Gem:R} to stun your target.,{Gold:2}
[Passive] |Liquid Shield| +1 Armor :N When an opponent rolls one or more {Dice:Crit} while attacking you - you may spend {Gem:R} to turn one into {Dice:Miss}. (This does not cause Ranged Attacks to fail.),{Gold:5}
[Passive] |Spike Armor| +1 Armor. :N When you roll one or more {Dice:!} - Deal 1 damage to an enemy within range 1.,{Gold:6}
[Passive] |Anklets of The Wind| +1 Move. :N When you roll one or more {Dice:!} you may use it to Move 1,{Gold:3}
[Passive] |Sure-Footed Greaves| +1 Move. :N When you roll {Dice:!} you may spend one to put a +1 Counter on one of your Action Cards.,{Gold:4}
[Upgrades Move] |Swift Boots|+2 Move. :N You cannot use heals on the map.,{Gold:5}
[Passive] |Silver Coating| +1 Melee Attack. :N Deal 1 extra damage whenever you Attack a monster.,{Gold:3}
[Passive] |Vorpal Blade|+1 Melee Attack. :N When you roll one or more {Dice:!} while attacking you may spend one of them to deal 1 extra damage.,{Gold:5}
[Passive] |Longbow| +2 Ranged Attack. :N You may ignore up to 1 {Dice:Miss} when you roll.,{Gold:6}
[Passive] |Mr Fusion|Once per turn before you take either of your actions: You may discard an Equipment or Consumable card to move any action to Slot Level 4.,{Gold:3}
[Passive] |Unlocked Potential| This card acts as an extra Action Card. It starts in the highest position. You may use it as though it were any other Action Card but still move this card. When you do: treat the Slot Level as 2. (This does benefit from +1 Action effects.),{Gold:4}
[Upgrades Move] |Zagreus Feet| You are immune to lava. When you roll one or more {Dice:!} you may spend one to inflict Burn on an enemy within range 1.,{Gold:3}
[Passive] |Qi Control| End of turn: You may swap your 2nd and 3rd slots.,{Gold:8}
[Passive] |Frost Armor| +1 Armor (Armor allows you to roll 1 hit die whenever you take damage to reduce the damage.) :N Enemies within range 3 of you have Move -1.,{Gold:5;Gem:R}
